StudentID,Year,Band,Instrument,has_assessments,has_instrument,has_segment,has_pyin_pitchtrack
31431,2013,concert,Euphonium,True,False,False,False
32853,2013,concert,Tuba,True,False,False,False
30927,2013,concert,Percussion,True,True,True,False
33784,2013,concert,Alto Saxophone,True,True,True,True
31178,2013,concert,Tenor Saxophone,True,False,False,False
32301,2013,concert,Flute,True,True,True,True
29555,2013,concert,Trumpet,True,True,True,False
28772,2013,concert,French Horn,True,False,False,False
30833,2013,concert,Oboe,True,False,False,False
30882,2013,concert,Euphonium,True,False,False,False
30188,2013,concert,Tuba,True,False,False,False
30052,2013,concert,Trombone,True,False,False,False
33972,2013,concert,Oboe,True,False,False,False
36642,2013,concert,Percussion,True,True,True,False
30037,2013,concert,Bass Clarinet,True,False,False,False
30326,2013,concert,Bb Clarinet,True,True,True,True
28940,2013,concert,Euphonium,True,False,False,False
33832,2013,concert,Bb Clarinet,True,True,True,True
29858,2013,concert,Euphonium,True,False,False,False
30836,2013,concert,Bb Clarinet,True,False,False,True
32182,2013,concert,Bb Clarinet,True,False,False,True
36683,2013,concert,Trombone,True,False,False,False
33979,2013,concert,Oboe,True,False,False,False
31720,2013,concert,Alto Saxophone,True,True,True,True
32081,2013,concert,Alto Saxophone,True,True,True,True
31525,2013,concert,Tuba,True,False,False,False
29790,2013,concert,Percussion,True,True,True,False
31281,2013,concert,Bb Clarinet,True,True,True,True
33251,2013,concert,French Horn,True,False,False,False
33890,2013,concert,English Horn,True,False,False,False
30987,2013,concert,Flute,True,True,True,True
28951,2013,concert,Trumpet,True,True,True,False
32729,2013,concert,Trumpet,True,True,True,False
31799,2013,concert,Bb Clarinet,True,True,True,True
32973,2013,concert,Flute,True,True,True,True
29816,2013,concert,Trumpet,True,True,True,False
29289,2013,concert,Bb Clarinet,True,True,True,True
31154,2013,concert,Bb Clarinet,True,True,True,True
30758,2013,concert,Flute,True,True,True,True
30146,2013,concert,Percussion,True,True,True,False
29192,2013,concert,Alto Saxophone,True,True,True,True
33504,2013,concert,Flute,True,True,True,True
33059,2013,concert,Flute,True,True,True,True
32791,2013,concert,Trumpet,True,True,True,False
33775,2013,concert,Piccolo,True,False,False,False
37316,2013,concert,Bb Clarinet,True,True,True,True
33595,2013,concert,Bass Clarinet,True,False,False,False
32266,2013,concert,Trombone,True,False,False,False
36662,2013,concert,Alto Saxophone,True,True,True,True
29702,2013,concert,Tuba,True,False,False,False
29547,2013,concert,Euphonium,True,False,False,False
32531,2013,concert,Trombone,True,False,False,False
29589,2013,concert,Percussion,True,True,True,False
36041,2013,concert,Percussion,True,True,True,False
29518,2013,concert,French Horn,True,False,False,False
29666,2013,concert,Flute,True,True,True,True
37300,2013,concert,French Horn,True,False,False,False
34601,2013,concert,Percussion,True,True,True,False
29795,2013,concert,Flute,True,True,True,True
29508,2013,concert,Bb Clarinet,True,True,True,True
33777,2013,concert,Flute,True,True,True,True
31295,2013,concert,Percussion,True,True,True,False
32065,2013,concert,Bb Clarinet,True,True,True,True
36032,2013,concert,Trombone,True,False,False,False
32755,2013,concert,French Horn,True,False,False,False
32839,2013,concert,Percussion,True,True,True,False
35089,2013,concert,Alto Saxophone,True,True,True,True
32407,2013,concert,French Horn,True,False,False,False
32156,2013,concert,Bass Clarinet,True,False,False,False
34761,2013,concert,Flute,True,True,True,True
30537,2013,concert,Alto Saxophone,True,True,True,True
31176,2013,concert,Trumpet,True,False,False,False
32977,2013,concert,Flute,True,True,True,True
28766,2013,concert,Trombone,True,False,False,False
29515,2013,concert,Bassoon,True,False,False,False
29989,2013,concert,Percussion,True,True,True,False
32618,2013,concert,Trumpet,True,True,True,False
32421,2013,concert,Percussion,True,True,True,False
29522,2013,concert,Bb Clarinet,True,True,True,True
37297,2013,concert,Percussion,True,True,True,False
37342,2013,concert,Bb Clarinet,True,True,True,True
32616,2013,concert,Bassoon,True,False,False,False
32723,2013,concert,Tuba,True,False,False,False
33834,2013,concert,Oboe,True,False,False,False
28741,2013,concert,Alto Saxophone,True,True,True,True
32452,2013,concert,Alto Saxophone,True,True,True,True
33964,2013,concert,French Horn,True,False,False,False
37334,2013,concert,Bb Clarinet,True,True,True,True
37760,2013,concert,Trumpet,True,True,True,False
33809,2013,concert,Trumpet,True,True,True,False
33776,2013,concert,Flute,True,True,True,True
30683,2013,concert,Oboe,True,False,False,False
31177,2013,concert,Euphonium,True,False,False,False
33173,2013,concert,Trumpet,True,True,True,False
28738,2013,concert,Alto Saxophone,True,True,True,True
30673,2013,concert,Alto Saxophone,True,True,True,True
28663,2013,concert,French Horn,True,False,False,False
33960,2013,concert,Piccolo,True,False,False,False
37326,2013,concert,Trombone,True,False,False,False
34024,2013,concert,Bb Contrabass Clarinet,True,False,False,False
28896,2013,concert,Bb Clarinet,True,True,True,True
29542,2013,concert,Tenor Saxophone,True,False,False,False
30822,2013,concert,Flute,True,True,True,True
33951,2013,concert,Bb Clarinet,True,True,True,True
33548,2013,concert,Trombone,True,False,False,False
37323,2013,concert,Percussion,True,True,True,False
29691,2013,concert,Percussion,True,True,True,False
29884,2013,concert,Trombone,True,False,False,False
30210,2013,concert,Tuba,True,False,False,False
29950,2013,concert,Bb Clarinet,True,True,True,True
32399,2013,concert,Oboe,True,False,False,False
33952,2013,concert,Flute,True,True,True,True
29099,2013,concert,Percussion,True,True,True,False
33541,2013,concert,Bass Clarinet,True,False,False,False
36763,2013,concert,Percussion,True,True,True,False
30901,2013,concert,Oboe,True,False,False,False
33910,2013,concert,Trumpet,True,True,True,False
32023,2013,concert,Tuba,True,False,False,False
29743,2013,concert,Oboe,True,False,False,False
32721,2013,concert,Trombone,True,False,False,False
37249,2013,concert,Flute,True,True,True,True
29665,2013,concert,Tenor Saxophone,True,False,False,False
32835,2013,concert,Oboe,True,False,False,False
33053,2013,concert,Flute,True,True,True,True
30324,2013,concert,Trumpet,True,True,True,False
32772,2013,concert,Piccolo,True,False,False,False
31537,2013,concert,Flute,True,True,True,True
30908,2013,concert,Bassoon,True,False,False,False
30680,2013,concert,Trumpet,True,False,False,False
30985,2013,concert,Bb Clarinet,True,True,True,True
37111,2013,concert,Tuba,True,False,False,False
33886,2013,concert,Percussion,True,True,True,False
36017,2013,concert,Alto Saxophone,True,True,True,True
29357,2013,concert,Bb Contrabass Clarinet,True,False,False,False
34537,2013,concert,Tuba,True,False,False,False
33770,2013,concert,Bb Clarinet,True,True,True,True
29949,2013,concert,Trumpet,True,True,True,False
30759,2013,concert,Trombone,True,False,False,False
32829,2013,concert,Alto Saxophone,True,True,True,True
30242,2013,concert,Flute,True,True,True,True
32766,2013,concert,Oboe,True,False,False,False
32754,2013,concert,Bb Clarinet,True,True,True,True
29404,2013,concert,Bb Clarinet,True,True,True,True
30679,2013,concert,Flute,True,True,True,True
32997,2013,concert,Oboe,True,False,False,False
36738,2013,concert,Bb Clarinet,True,True,True,True
34597,2013,concert,Tenor Saxophone,True,False,False,False
28807,2013,concert,Alto Saxophone,True,True,True,True
38695,2013,concert,English Horn,True,False,False,False
36658,2013,concert,Flute,True,True,True,True
35997,2013,concert,Flute,True,True,True,True
36674,2013,concert,Flute,True,True,True,True
29811,2013,concert,Flute,True,True,True,True
30319,2013,concert,Trombone,True,False,False,False
30426,2013,concert,Oboe,True,False,False,False
36673,2013,concert,Percussion,True,True,True,False
36000,2013,concert,Flute,True,True,True,True
31416,2013,concert,Trumpet,True,True,True,False
30625,2013,concert,Bb Clarinet,True,True,True,True
37350,2013,concert,Flute,True,True,True,True
29527,2013,concert,Bb Clarinet,True,True,True,True
32624,2013,concert,Flute,True,True,True,True
34028,2013,concert,Bass Clarinet,True,False,False,False
32416,2013,concert,Trombone,True,False,False,False
33906,2013,concert,Oboe,True,False,False,False
38754,2013,concert,Percussion,True,True,True,False
33812,2013,concert,French Horn,True,False,False,False
32456,2013,concert,Tenor Saxophone,True,False,False,False
30913,2013,concert,Alto Saxophone,True,True,True,True
29477,2013,concert,Oboe,True,False,False,False
29484,2013,concert,Trombone,True,False,False,False
33671,2013,concert,Trumpet,True,True,True,False
32412,2013,concert,Bb Clarinet,True,True,True,True
30921,2013,concert,French Horn,True,False,False,False
37264,2013,concert,Alto Saxophone,True,True,True,True
30672,2013,concert,French Horn,True,False,False,False
29754,2013,concert,Tuba,True,False,False,False
33855,2013,concert,Percussion,True,True,True,False
34842,2013,concert,Trombone,True,False,False,False
29711,2013,concert,Percussion,True,True,True,False
37763,2013,concert,Bb Clarinet,True,True,True,True
32773,2013,concert,Percussion,True,True,True,False
32455,2013,concert,Alto Saxophone,True,True,True,True
32833,2013,concert,Alto Saxophone,True,True,True,True
37186,2013,concert,Euphonium,True,False,False,False
29984,2013,concert,Trumpet,True,True,True,False
31726,2013,concert,Trumpet,True,True,True,False
31233,2013,concert,Bb Clarinet,True,True,True,True
33956,2013,concert,Trumpet,True,True,True,False
28576,2013,concert,Percussion,True,True,True,False
36699,2013,concert,Bass Clarinet,True,False,False,False
37308,2013,concert,Tenor Saxophone,True,False,False,False
28889,2013,concert,Flute,True,True,True,True
30097,2013,concert,Tuba,True,False,False,False
32757,2013,concert,Percussion,True,True,True,False
30338,2013,concert,French Horn,True,False,False,False
29483,2013,concert,French Horn,True,False,False,False
32256,2013,concert,Oboe,True,False,False,False
29290,2013,concert,Bassoon,True,False,False,False
30085,2013,concert,Flute,True,True,True,True
31974,2013,concert,Trombone,True,False,False,False
32408,2013,concert,Trombone,True,False,False,False
32613,2013,concert,Percussion,True,True,True,False
35168,2013,concert,Alto Saxophone,True,True,True,True
34170,2013,concert,Euphonium,True,False,False,False
31920,2013,concert,Euphonium,True,False,False,False
30829,2013,concert,Flute,True,True,True,True
30911,2013,concert,Bb Clarinet,True,True,True,True
33905,2013,concert,Bassoon,True,False,False,False
32190,2013,concert,Tuba,True,False,False,False
31701,2013,concert,Alto Saxophone,True,True,True,True
29139,2013,concert,Trumpet,True,False,False,False
37332,2013,concert,Oboe,True,False,False,False
30715,2013,concert,Bb Clarinet,True,True,True,True
31514,2013,concert,Tuba,True,False,False,False
35837,2013,concert,Trumpet,True,True,True,False
31507,2013,concert,Bb Clarinet,True,True,True,True
29697,2013,concert,French Horn,True,False,False,False
32042,2013,concert,Oboe,True,False,False,False
31234,2013,concert,Bb Clarinet,True,True,True,True
32202,2013,concert,Trombone,True,False,False,False
30717,2013,concert,Percussion,True,True,True,False
35368,2013,concert,Euphonium,True,False,False,False
28764,2013,concert,Trombone,True,False,False,False
36675,2013,concert,Bb Clarinet,True,True,True,True
35308,2013,concert,Bb Clarinet,True,False,False,True
33061,2013,concert,Percussion,True,True,True,False
32841,2013,concert,Percussion,True,True,True,False
31995,2013,concert,Alto Saxophone,True,True,True,True
31240,2013,concert,Flute,True,True,True,True
33501,2013,concert,Bass Clarinet,True,False,False,False
32254,2013,concert,French Horn,True,False,False,False
30953,2013,concert,Alto Saxophone,True,True,True,True
30864,2013,concert,Flute,True,True,True,True
29676,2013,concert,Bb Clarinet,True,True,True,True
30132,2013,concert,Bari Saxophone,True,False,False,False
31733,2013,concert,French Horn,True,False,False,False
37260,2013,concert,Euphonium,True,False,False,False
29498,2013,concert,Trombone,True,False,False,False
32149,2013,concert,Trumpet,True,True,True,False
29657,2013,concert,Trombone,True,False,False,False
32847,2013,concert,Flute,True,True,True,True
31354,2013,concert,Alto Saxophone,True,True,True,True
29663,2013,concert,Oboe,True,False,False,False
30047,2013,concert,Flute,True,True,True,True
30462,2013,concert,Bass Clarinet,True,False,False,False
28693,2013,concert,Alto Saxophone,True,True,True,True
31128,2013,concert,Trumpet,True,True,True,False
31651,2013,concert,Flute,True,True,True,True
37245,2013,concert,Bass Clarinet,True,False,False,False
29132,2013,concert,Bb Clarinet,True,True,True,True
36042,2013,concert,Percussion,True,True,True,False
30828,2013,concert,Alto Saxophone,True,True,True,True
29098,2013,concert,Percussion,True,True,True,False
36740,2013,concert,Bb Clarinet,True,True,True,True
31971,2013,concert,Alto Saxophone,True,True,True,True
35359,2013,concert,Tuba,True,False,False,False
35306,2013,concert,Bb Clarinet,True,False,False,True
35835,2013,concert,Bb Clarinet,True,True,True,True
29793,2013,concert,Bb Clarinet,True,True,True,True
37164,2013,concert,Piccolo,True,False,False,False
34639,2013,concert,Bassoon,True,False,False,False
31492,2013,concert,Bassoon,True,False,False,False
34262,2013,concert,Percussion,True,True,True,False
30221,2013,concert,Percussion,True,True,True,False
32464,2013,concert,Flute,True,True,True,True
31357,2013,concert,Oboe,True,False,False,False
35340,2013,concert,Percussion,True,True,True,False
37356,2013,concert,Percussion,True,True,True,False
32532,2013,concert,Trumpet,True,True,True,False
32826,2013,concert,Bari Saxophone,True,False,False,False
32454,2013,concert,Eb Clarinet,True,False,False,False
29220,2013,concert,Flute,True,True,True,True
31649,2013,concert,Bari Saxophone,True,False,False,False
33510,2013,concert,Trumpet,True,True,True,False
30890,2013,concert,Oboe,True,False,False,False
35538,2013,concert,Trumpet,True,True,True,False
29549,2013,concert,Bb Clarinet,True,True,True,True
29394,2013,concert,Percussion,True,True,True,False
30004,2013,concert,Trumpet,True,True,True,False
29175,2013,concert,Bari Saxophone,True,False,False,False
28725,2013,concert,Flute,True,True,True,True
29538,2013,concert,Flute,True,True,True,True
31691,2013,concert,Bb Clarinet,True,True,True,True
31567,2013,concert,French Horn,True,False,False,False
