sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
28568,2013.0,symphonic,/media/fba/./fba-canonical/audio/2013-2014/symphonicbandscores/28568/28568.mp3,2013.0,symphonic,2013.0,symphonic
28569,2013.0,symphonic,/media/fba/./fba-canonical/audio/2013-2014/symphonicbandscores/28569/28569.mp3,2013.0,symphonic,2013.0,symphonic
28570,2013.0,symphonic,/media/fba/./fba-canonical/audio/2013-2014/symphonicbandscores/28570/28570.mp3,2013.0,symphonic,2013.0,symphonic
28572,2013.0,symphonic,/media/fba/./fba-canonical/audio/2013-2014/symphonicbandscores/28572/28572.mp3,2013.0,symphonic,2013.0,symphonic
28576,2013.0,concert,/media/fba/./fba-canonical/audio/2013-2014/concertbandscores/28576/28576.mp3,2013.0,concert,2013.0,concert
28578,2013.0,concert,/media/fba/./fba-canonical/audio/2013-2014/concertbandscores/28578/28578.mp3,2013.0,concert,2013.0,concert
28579,2013.0,concert,/media/fba/./fba-canonical/audio/2013-2014/concertbandscores/28579/28579.mp3,2013.0,concert,2013.0,concert
28580,2013.0,concert,/media/fba/./fba-canonical/audio/2013-2014/concertbandscores/28580/28580.mp3,2013.0,concert,2013.0,concert
28583,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28583/28583.mp3,2013.0,middle,2013.0,middle
28584,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28584/28584.mp3,2013.0,middle,2013.0,middle
28585,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28585/28585.mp3,2013.0,middle,2013.0,middle
28586,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28586/28586.mp3,2013.0,middle,2013.0,middle
28587,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28587/28587.mp3,2013.0,middle,2013.0,middle
28588,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28588/28588.mp3,2013.0,middle,2013.0,middle
28589,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28589/28589.mp3,2013.0,middle,2013.0,middle
28590,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28590/28590.mp3,2013.0,middle,2013.0,middle
28591,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28591/28591.mp3,2013.0,middle,2013.0,middle
28592,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28592/28592.mp3,2013.0,middle,2013.0,middle
28593,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28593/28593.mp3,2013.0,middle,2013.0,middle
28594,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28594/28594.mp3,2013.0,middle,2013.0,middle
28595,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28595/28595.mp3,2013.0,middle,2013.0,middle
28596,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28596/28596.mp3,2013.0,middle,2013.0,middle
28597,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28597/28597.mp3,2013.0,middle,2013.0,middle
28598,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28598/28598.mp3,2013.0,middle,2013.0,middle
28599,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28599/28599.mp3,2013.0,middle,2013.0,middle
28600,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28600/28600.mp3,2013.0,middle,2013.0,middle
28601,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28601/28601.mp3,2013.0,middle,2013.0,middle
28602,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28602/28602.mp3,2013.0,middle,2013.0,middle
28603,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28603/28603.mp3,2013.0,middle,2013.0,middle
28604,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28604/28604.mp3,2013.0,middle,2013.0,middle
28607,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28607/28607.mp3,2013.0,middle,2013.0,middle
28608,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28608/28608.mp3,2013.0,middle,2013.0,middle
28609,2013.0,middle,/media/fba/./fba-canonical/audio/2013-2014/middleschoolscores/28609/28609.mp3,2013.0,middle,2013.0,middle
