sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
28671,2013.0,concert,,,,2013.0,concert
30097,2013.0,concert,,,,2013.0,concert
31182,2013.0,concert,,,,2013.0,concert
35993,2013.0,concert,,,,2013.0,concert
36507,2013.0,symphonic,,,,2013.0,symphonic
38490,2013.0,symphonic,,,,2013.0,symphonic
38778,2014.0,concert,/media/fba/./fba-canonical/audio/2014-2015/concertband/38778/38778.mp3,2014.0,concert,,
38783,2014.0,concert,/media/fba/./fba-canonical/audio/2014-2015/concertband/38783/38783.mp3,2014.0,concert,,
38786,2014.0,concert,/media/fba/./fba-canonical/audio/2014-2015/concertband/38786/38786.mp3,2014.0,concert,,
38791,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38791/38791.mp3,2014.0,symphonic,,
38793,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38793/38793.mp3,2014.0,symphonic,,
38798,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38798/38798.mp3,2014.0,symphonic,,
38812,2014.0,concert,/media/fba/./fba-canonical/audio/2014-2015/concertband/38812/38812.mp3,2014.0,concert,,
38814,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38814/38814.mp3,2014.0,symphonic,,
38817,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38817/38817.mp3,2014.0,symphonic,,
38818,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38818/38818.mp3,2014.0,symphonic,,
38825,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38825/38825.mp3,2014.0,symphonic,,
38826,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38826/38826.mp3,2014.0,symphonic,,
38828,2014.0,symphonic,/media/fba/./fba-canonical/audio/2014-2015/symphonicband/38828/38828.mp3,2014.0,symphonic,,
38833,2014.0,concert,/media/fba/./fba-canonical/audio/2014-2015/concertband/38833/38833.mp3,2014.0,concert,,
