sid,score_year,score_band
28586,2013,middle
28592,2013,middle
28599,2013,middle
28607,2013,middle
28891,2013,middle
28583,2013,middle
28933,2013,middle
28584,2013,middle
28961,2013,middle
28585,2013,middle
28972,2013,middle
28602,2013,middle
29037,2013,middle
29042,2013,middle
28711,2013,middle
29045,2013,middle
28969,2013,middle
29198,2013,middle
29161,2013,middle
29180,2013,middle
29342,2013,middle
29343,2013,middle
29348,2013,middle
29351,2013,middle
29366,2013,middle
29367,2013,middle
29388,2013,middle
29461,2013,middle
29463,2013,middle
29620,2013,middle
28594,2013,middle
28601,2013,middle
28965,2013,middle
28971,2013,middle
29008,2013,middle
29162,2013,middle
29197,2013,middle
29628,2013,middle
29633,2013,middle
29664,2013,middle
29671,2013,middle
29756,2013,middle
29851,2013,middle
29852,2013,middle
28610,2013,middle
29050,2013,middle
29237,2013,middle
29263,2013,middle
29264,2013,middle
29368,2013,middle
29412,2013,middle
29435,2013,middle
29470,2013,middle
29645,2013,middle
29848,2013,middle
29870,2013,middle
29889,2013,middle
30102,2013,middle
30142,2013,middle
30357,2013,middle
30397,2013,middle
30419,2013,middle
30457,2013,middle
30517,2013,middle
30728,2013,middle
30989,2013,middle
31179,2013,middle
29853,2013,middle
29920,2013,middle
30029,2013,middle
30139,2013,middle
30173,2013,middle
30191,2013,middle
30195,2013,middle
30200,2013,middle
30248,2013,middle
28589,2013,middle
28798,2013,middle
28888,2013,middle
29013,2013,middle
29140,2013,middle
29334,2013,middle
29335,2013,middle
38756,2013,middle
35895,2013,middle
35878,2013,middle
35875,2013,middle
35508,2013,middle
35208,2013,middle
29354,2013,middle
29629,2013,middle
29641,2013,middle
29871,2013,middle
35203,2013,middle
35069,2013,middle
34964,2013,middle
34963,2013,middle
34843,2013,middle
34791,2013,middle
34590,2013,middle
34552,2013,middle
34517,2013,middle
34043,2013,middle
34034,2013,middle
33878,2013,middle
33248,2013,middle
33226,2013,middle
33161,2013,middle
33157,2013,middle
33148,2013,middle
33050,2013,middle
32586,2013,middle
32443,2013,middle
32437,2013,middle
29217,2013,middle
29262,2013,middle
30267,2013,middle
30301,2013,middle
30361,2013,middle
29338,2013,middle
30364,2013,middle
29347,2013,middle
29352,2013,middle
31193,2013,middle
29430,2013,middle
29433,2013,middle
31217,2013,middle
31390,2013,middle
31717,2013,middle
32045,2013,middle
32098,2013,middle
32102,2013,middle
32139,2013,middle
32276,2013,middle
32304,2013,middle
32428,2013,middle
32435,2013,middle
32431,2013,middle
32424,2013,middle
32289,2013,middle
32278,2013,middle
31628,2013,middle
31488,2013,middle
31401,2013,middle
31397,2013,middle
31303,2013,middle
31216,2013,middle
31213,2013,middle
29905,2013,middle
30103,2013,middle
30268,2013,middle
30271,2013,middle
30274,2013,middle
31552,2013,middle
29436,2013,middle
29458,2013,middle
29469,2013,middle
29622,2013,middle
29626,2013,middle
29632,2013,middle
29649,2013,middle
29670,2013,middle
29844,2013,middle
29847,2013,middle
29863,2013,middle
29864,2013,middle
30384,2013,middle
30386,2013,middle
30451,2013,middle
30515,2013,middle
30548,2013,middle
30552,2013,middle
