sid,segmentation_year,segmentation_band
30397,2013,middle
33157,2013,middle
29664,2013,middle
32741,2013,middle
32320,2013,middle
32307,2013,middle
33178,2013,middle
29887,2013,middle
31418,2013,middle
34559,2013,middle
28799,2013,middle
35068,2013,middle
29265,2013,middle
33318,2013,middle
34970,2013,middle
30451,2013,middle
34195,2013,middle
30765,2013,middle
30245,2013,middle
33684,2013,middle
30102,2013,middle
29412,2013,middle
35895,2013,middle
29347,2013,middle
32586,2013,middle
34788,2013,middle
35508,2013,middle
32225,2013,middle
31217,2013,middle
32579,2013,middle
32089,2013,middle
30134,2013,middle
33259,2013,middle
30659,2013,middle
30764,2013,middle
29105,2013,middle
35391,2013,middle
36613,2013,middle
34201,2013,middle
32373,2013,middle
33168,2013,middle
31193,2013,middle
32292,2013,middle
32290,2013,middle
33921,2013,middle
29630,2013,middle
31718,2013,middle
34206,2013,middle
34049,2013,middle
29922,2013,middle
35892,2013,middle
33646,2013,middle
31675,2013,middle
35871,2013,middle
32047,2013,middle
32423,2013,middle
30859,2013,middle
29031,2013,middle
34202,2013,middle
33264,2013,middle
31385,2013,middle
32084,2013,middle
30532,2013,middle
31490,2013,middle
30133,2013,middle
34381,2013,middle
30590,2013,middle
28973,2013,middle
30531,2013,middle
33647,2013,middle
36364,2013,middle
33215,2013,middle
32282,2013,middle
30371,2013,middle
29629,2013,middle
31123,2013,middle
30814,2013,middle
33926,2013,middle
34588,2013,middle
33247,2013,middle
33219,2013,middle
28602,2013,middle
29916,2013,middle
31131,2013,middle
29003,2013,middle
29653,2013,middle
34739,2013,middle
34955,2013,middle
29180,2013,middle
30498,2013,middle
34045,2013,middle
29430,2013,middle
28588,2013,middle
30412,2013,middle
30200,2013,middle
30967,2013,middle
28971,2013,middle
34407,2013,middle
29198,2013,middle
34189,2013,middle
33260,2013,middle
29640,2013,middle
32059,2013,middle
30745,2013,middle
29008,2013,middle
29890,2013,middle
29348,2013,middle
30365,2013,middle
34223,2013,middle
35876,2013,middle
30557,2013,middle
31306,2013,middle
30997,2013,middle
32434,2013,middle
33225,2013,middle
30237,2013,middle
32710,2013,middle
28604,2013,middle
34551,2013,middle
30964,2013,middle
30414,2013,middle
30517,2013,middle
32744,2013,middle
29870,2013,middle
31276,2013,middle
33169,2013,middle
29622,2013,middle
35897,2013,middle
30974,2013,middle
28711,2013,middle
34552,2013,middle
30301,2013,middle
33244,2013,middle
31719,2013,middle
31215,2013,middle
31930,2013,middle
34046,2013,middle
31312,2013,middle
33458,2013,middle
31169,2013,middle
30248,2013,middle
33460,2013,middle
34396,2013,middle
35878,2013,middle
29641,2013,middle
29247,2013,middle
30357,2013,middle
32432,2013,middle
30143,2013,middle
34545,2013,middle
30995,2013,middle
29368,2013,middle
34420,2013,middle
29848,2013,middle
34583,2013,middle
30676,2013,middle
30407,2013,middle
29635,2013,middle
34428,2013,middle
34547,2013,middle
29645,2013,middle
31132,2013,middle
30374,2013,middle
36973,2013,middle
34410,2013,middle
32101,2013,middle
31477,2013,middle
30946,2013,middle
29437,2013,middle
29844,2013,middle
29825,2013,middle
31207,2013,middle
30519,2013,middle
31145,2013,middle
29865,2013,middle
34465,2013,middle
30554,2013,middle
30555,2013,middle
33012,2013,middle
31738,2013,middle
33412,2013,middle
34309,2013,middle
29263,2013,middle
31333,2013,middle
34671,2013,middle
32236,2013,middle
33221,2013,middle
31121,2013,middle
34798,2013,middle
28593,2013,middle
32664,2013,middle
31125,2013,middle
35872,2013,middle
28607,2013,middle
30177,2013,middle
31488,2013,middle
31310,2013,middle
31966,2013,middle
30274,2013,middle
33222,2013,middle
30766,2013,middle
32030,2013,middle
31205,2013,middle
30261,2013,middle
30415,2013,middle
32374,2013,middle
29339,2013,middle
34459,2013,middle
28933,2013,middle
33218,2013,middle
30495,2013,middle
35880,2013,middle
33228,2013,middle
30712,2013,middle
28585,2013,middle
34185,2013,middle
32051,2013,middle
34430,2013,middle
32095,2013,middle
33162,2013,middle
30141,2013,middle
34969,2013,middle
34673,2013,middle
32438,2013,middle
35867,2013,middle
29856,2013,middle
29334,2013,middle
35601,2013,middle
32371,2013,middle
32442,2013,middle
36014,2013,middle
30268,2013,middle
34218,2013,middle
34652,2013,middle
33877,2013,middle
34004,2013,middle
34179,2013,middle
32213,2013,middle
34034,2013,middle
34333,2013,middle
35438,2013,middle
30269,2013,middle
29455,2013,middle
31407,2013,middle
29376,2013,middle
29385,2013,middle
33793,2013,middle
31301,2013,middle
34194,2013,middle
35885,2013,middle
29197,2013,middle
28589,2013,middle
34803,2013,middle
28892,2013,middle
31486,2013,middle
29758,2013,middle
33561,2013,middle
29037,2013,middle
32090,2013,middle
30176,2013,middle
30658,2013,middle
38083,2013,middle
31331,2013,middle
34406,2013,middle
31305,2013,middle
33223,2013,middle
34581,2013,middle
28970,2013,middle
34902,2013,middle
31817,2013,middle
29634,2013,middle
31496,2013,middle
32304,2013,middle
33172,2013,middle
34405,2013,middle
34048,2013,middle
33237,2013,middle
30497,2013,middle
30467,2013,middle
31303,2013,middle
35894,2013,middle
35506,2013,middle
32411,2013,middle
30862,2013,middle
33568,2013,middle
32441,2013,middle
30447,2013,middle
29173,2013,middle
32945,2013,middle
29859,2013,middle
34554,2013,middle
38068,2013,middle
33032,2013,middle
35203,2013,middle
35959,2013,middle
30458,2013,middle
31029,2013,middle
34657,2013,middle
28980,2013,middle
28597,2013,middle
31417,2013,middle
28599,2013,middle
30821,2013,middle
31721,2013,middle
31550,2013,middle
29433,2013,middle
30445,2013,middle
35875,2013,middle
30593,2013,middle
32440,2013,middle
34394,2013,middle
31790,2013,middle
30118,2013,middle
30815,2013,middle
30515,2013,middle
32237,2013,middle
31134,2013,middle
30361,2013,middle
31835,2013,middle
30895,2013,middle
31190,2013,middle
35510,2013,middle
35899,2013,middle
30249,2013,middle
31030,2013,middle
28965,2013,middle
28598,2013,middle
33567,2013,middle
30588,2013,middle
31442,2013,middle
30726,2013,middle
34764,2013,middle
30558,2013,middle
28587,2013,middle
31455,2013,middle
29846,2013,middle
32053,2013,middle
29851,2013,middle
28583,2013,middle
34387,2013,middle
32435,2013,middle
29863,2013,middle
30595,2013,middle
33167,2013,middle
35511,2013,middle
34215,2013,middle
29756,2013,middle
29850,2013,middle
34204,2013,middle
30119,2013,middle
30195,2013,middle
31791,2013,middle
31070,2013,middle
34192,2013,middle
29302,2013,middle
30922,2013,middle
29264,2013,middle
32139,2013,middle
33535,2013,middle
33562,2013,middle
34675,2013,middle
30587,2013,middle
30196,2013,middle
32270,2013,middle
30140,2013,middle
33918,2013,middle
37198,2013,middle
30893,2013,middle
35162,2013,middle
35583,2013,middle
36365,2013,middle
35865,2013,middle
29624,2013,middle
31401,2013,middle
29106,2013,middle
32133,2013,middle
34517,2013,middle
30271,2013,middle
29627,2013,middle
32405,2013,middle
34329,2013,middle
31146,2013,middle
29244,2013,middle
30591,2013,middle
30171,2013,middle
30723,2013,middle
34393,2013,middle
29246,2013,middle
33177,2013,middle
35165,2013,middle
32129,2013,middle
33022,2013,middle
35200,2013,middle
32443,2013,middle
31181,2013,middle
30585,2013,middle
31351,2013,middle
30529,2013,middle
30939,2013,middle
33030,2013,middle
33216,2013,middle
32749,2013,middle
31197,2013,middle
33881,2013,middle
29888,2013,middle
32097,2013,middle
35900,2013,middle
34006,2013,middle
28968,2013,middle
30389,2013,middle
33236,2013,middle
34560,2013,middle
30386,2013,middle
34889,2013,middle
